Label	InputSMILES	CID	InChIKey	IUPACName	ResolveError	MentionCount	SourceType	Database	Query	MatchMode	Confidence	Title	Year	ReferenceID	URL	AuthorsOrAssignee	JournalOrPublication	Snippet	Category
WX602162	Nc1cc(Cl)cc(Br)c1	3084709	YYBRLVWWPRAQDX-UHFFFAOYSA-N	3-bromo-5-chloroaniline		4	paper	Europe PMC	"""3-bromo-5-chloroaniline"""	exact_name	medium	Phenoxyaromatic Acid Analogues as Novel Radiotherapy Sensitizers: Design, Synthesis and Biological Evaluation.	2022	35458626	https://doi.org/10.3390/molecules27082428	Zhang H, Wen C, Li B, Yan X, Xu Y, Guo J, Hou S, Chang J, Li S, Xiao J.	Molecules		papers_only
WX602162	Nc1cc(Cl)cc(Br)c1	3084709	YYBRLVWWPRAQDX-UHFFFAOYSA-N	3-bromo-5-chloroaniline		4	paper	Europe PMC	"""3-bromo-5-chloroaniline"""	exact_name	medium	Research towards selective inhibition of the CLK3 kinase.	2025	41158282	https://doi.org/10.3762/bjoc.21.172	Singh VK, Justaud F, Brahmaiah D, Kumar NS, Baratte B, Robert T, Bach S, Reddy CR, Levoin N, Grée RL.	Beilstein J Org Chem		papers_only
WX602169	CC(=O)c1cc([N+](=O)[O-])ccc1N	11252333	WYSBWHYLQMVOOL-UHFFFAOYSA-N	1-(2-amino-5-nitrophenyl)ethanone		1	paper	Europe PMC	"""1-(2-amino-5-nitrophenyl)ethanone"""	exact_name	medium	Synthesis and preliminary PET imaging of <sup>11</sup>C and <sup>18</sup>F isotopologues of the ROS1/ALK inhibitor lorlatinib.	2017	28594000	https://doi.org/10.1038/ncomms15761	Collier TL, Normandin MD, Stephenson NA, Livni E, Liang SH, Wooten DW, Esfahani SA, Stabin MG, Mahmood U, Chen J, Wang W, Maresca K, Waterhouse RN, El Fakhri G, Richardson P, Vasdev N.	Nat Commun		papers_only
WX602189	CCCOc1ccc(N)cc1	78221	DWOIGSLSPPLRKO-UHFFFAOYSA-N	4-propoxyaniline		5	paper	Europe PMC	"""4-propoxyaniline"""	exact_name	medium	A novel quinoline derivative that inhibits mycobacterial FtsZ.	2013	23647650	https://doi.org/10.1016/j.tube.2013.04.002	Mathew B, Ross L, Reynolds RC.	Tuberculosis (Edinb)		papers_only
WX602189	CCCOc1ccc(N)cc1	78221	DWOIGSLSPPLRKO-UHFFFAOYSA-N	4-propoxyaniline		5	paper	Europe PMC	"""4-propoxyaniline"""	exact_name	medium	Investigation of Hydro-Lipophilic Properties of <i>N</i>-Alkoxyphenylhydroxynaphthalenecarboxamides †.	2018	29973562	https://doi.org/10.3390/molecules23071635	Kapustikova I, Bak A, Gonec T, Kos J, Kozik V, Jampilek J.	Molecules		papers_only
WX602189	CCCOc1ccc(N)cc1	78221	DWOIGSLSPPLRKO-UHFFFAOYSA-N	4-propoxyaniline		5	paper	Europe PMC	"""4-propoxyaniline"""	exact_name	medium	Light and Temperature as Dual Stimuli Lead to Self-Assembly of Hyperbranched Azobenzene-Terminated Poly(N-isopropylacrylamide).	2016	30979277	https://doi.org/10.3390/polym8050183	Huang W, Yang J, Xia Y, Wang X, Xue X, Yang H, Wang G, Jiang B, Li F, Komarneni S.	Polymers (Basel)		papers_only
WX602189	CCCOc1ccc(N)cc1	78221	DWOIGSLSPPLRKO-UHFFFAOYSA-N	4-propoxyaniline		5	paper	Europe PMC	"""4-propoxyaniline"""	exact_name	medium	Synthesis, Inhibitory Activity, and &lt;i&gt;In Silico&lt;/i&gt; Modeling of Selective COX-1 Inhibitors with a Quinazoline Core.	2021	33854702	https://doi.org/10.1021/acsmedchemlett.1c00004	Dvorakova M, Langhansova L, Temml V, Pavicic A, Vanek T, Landa P.	ACS Med Chem Lett		papers_only
WX602189	CCCOc1ccc(N)cc1	78221	DWOIGSLSPPLRKO-UHFFFAOYSA-N	4-propoxyaniline		5	paper	Europe PMC	"""4-propoxyaniline"""	exact_name	medium	Lengthening the Guanidine-Aryl Linker of Phenylpyrimidinylguanidines Increases Their Potency as Inhibitors of FOXO3-Induced Gene Transcription.	2022	36188303	https://doi.org/10.1021/acsomega.2c04613	Kohoutova K, Dočekal V, Ausserlechner MJ, Kaiser N, Tekel A, Mandal R, Horvath M, Obsilova V, Vesely J, Hagenbuchner J, Obsil T.	ACS Omega		papers_only
WX604424	Cc1ccc2c(c1)SCCN2	20706234	RWIXAXMOFJECFX-UHFFFAOYSA-N	7-methyl-3,4-dihydro-2H-1,4-benzothiazine		1	paper	Europe PMC	"""7-methyl-3,4-dihydro-2H-1,4-benzothiazine"""	exact_name	medium	Phytochemical Composition and Antimicrobial Efficacy of Salvadora persica Root Extracts Against Carbapenem-Resistant Acinetobacter baumannii.	2024	38774172	https://doi.org/10.7759/cureus.58660	Wan Alias WAS, Ismail N, Hasan HB, Nik Abdul Ghani NR, Abdulrazak MH, Hassan SA.	Cureus		papers_only
WX604538	O=C1CCNc2ccccc21	117158	BUWPZNOVIHAWHW-UHFFFAOYSA-N	2,3-dihydro-1H-quinolin-4-one		5	paper	Europe PMC	"""2,3-dihydro-1H-quinolin-4-one"""	exact_name	medium	1-(Arylsulfonyl)-2,3-dihydro-1H-quinolin-4-one derivatives as 5-HT(6) serotonin receptor ligands.	2011	21190848	https://doi.org/10.1016/j.bmcl.2010.12.007	Park CM, Choi JI, Choi JH, Kim SY, Park WK, Seong CM.	Bioorg Med Chem Lett		papers_only
