smiles	catalog_id	fid	hasTertiaryAmine	nHBD	nHBA	cLogP	nHeteroAtoms	RingCount	nRotatableBonds	nAromaticBonds	nAcidicGroup	nBasicGroup	AtomicPolarizability	MolWt	TPSA	MaxTrainSimilarity	FpClusterId	PhysChemClusterId	Prom-0	Prom-1	Prom-2	Prom-0-0	Prom-1-0	Prom-2-0	Prom-0-1	Prom-1-1	Prom-2-1	Prom-0-2	Prom-1-2	Prom-2-2	Sign-0	Sign-1	Sign-2	Sign-3	Sign-4	Sign-5	Sign-6	Sign-7	Sign-8	Sign-9	smiles_valid	smiles_error	excel_row
C#CCCC1(CCC(=O)N2CCN(Cc3cc(F)ccc3OC)CC2)N=N1	Z2866903174		1	0	5	2,83	7	3	8	6	0	1	58,43	372,44	57,5	0,51	7	2	0,497	0,014	0,018	0,143	0,17	0,015	0,665	0,241	0,007	0,648	0,819	0,013	0	0,029	0,573	0,038	0,015	0,003	0,002	0,07	0,015	0,047	1		63
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2cnn(C)c2C)N=N1	Z2866903178		0	1	5	2,06	6	3	7	5	0	0	48,46	299,38	71,64	0,58	9	13	0,01	0,007	0,008	0,014	0,005	0,006	0,071	0,004	0,005	0,012	0,008	0,016	0,003	0,008	0,107	0,131	0,011	0,044	0,014	0,052	0,007	0,008	1		64
C#CCCC1(CCC(=O)N2CC(c3ccccc3)C3(CCC3)C2)N=N1	Z2866903181		0	0	3	4,14	4	4	6	6	0	0	57,73	335,45	45,03	0,6	11	9	0,432	0,242	0,094	0,845	0,399	0,145	0,953	0,456	0,437	0,954	0,793	0,465	0,002	0,014	0,034	0,085	0,013	0,003	0,157	0,035	0,038	0,003	1		65
C#CCCC1(CCC(=O)N2CCc3c2cccc3C(F)(F)F)N=N1	Z2866903187		0	0	3	3,95	7	3	5	6	0	0	46,36	335,33	45,03	0,69	7	9	0,669	0,212	0,022	0,666	0,422	0,074	0,869	0,534	0,193	0,931	0,904	0,195	0,005	0,142	0,001	0,042	0,048	0,007	0,338	0,056	0,051	0,028	1		66
C#CCCC1(CCC(=O)Nc2ncn(CC(=O)N3CCCCCC3)n2)N=N1	Z2866903189		0	1	7	1,97	9	3	8	5	0	0	57,65	371,45	104,84	0,58	2	7	0,001	0,002	0,004	0,05	0,065	0,015	0,141	0,003	0,008	0,016	0,001	0,001	0	0,039	0,092	0,148	0,05	0,003	0	0,046	0,076	0	1		67
C#CCCC1(CCC(=O)NC2CCN(c3nccn(CC)c3=O)CC2)N=N1	Z2866903203		0	1	7	1,7	8	3	8	6	0	0	58,98	370,46	91,95	0,51	9	7	0,001	0,001	0,002	0,006	0,024	0,003	0,007	0,001	0,004	0,005	0	0,001	0	0,159	0,267	0,188	0,013	0,008	0,001	0,052	0,02	0,002	1		68
C#CCCC1(CCC(=O)NC2CCN(C(=O)c3ccccc3F)CC2)N=N1	Z2866903206		0	1	4	2,9	7	3	7	6	0	0	57,1	370,43	74,13	0,56	9	2	0,041	0,023	0,033	0,038	0,075	0,02	0,29	0,028	0,059	0,16	0,063	0,029	0,002	0,031	0,016	0,132	0,008	0,012	0,003	0,05	0,007	0,005	1		69
C#CCCC1(CCC(=O)N2CCCC2c2ncccn2)N=N1	Z2866903211		0	0	5	2,5	6	3	6	6	0	0	47,13	297,36	70,81	0,56	0	4	0,017	0,003	0,002	0,062	0,07	0,013	0,241	0,094	0,004	0,362	0,007	0,011	0	0,094	0,058	0,131	0,016	0,03	0,003	0,048	0,025	0	1		70
C#CCCC1(CCC(=O)NCc2ncc3c(n2)CCC3)N=N1	Z2866903215		0	1	5	1,94	6	3	7	6	0	0	47,13	297,36	79,6	0,54	6	13	0,047	0,011	0,006	0,159	0,113	0,059	0,331	0,12	0,031	0,237	0,082	0,014	0,013	0,16	0,116	0,03	0,041	0,028	0,001	0,05	0,014	0	1		71
C#CCCC1(CCC(=O)N[C@@H]2C[C@H]2c2ccc(Cl)c(F)c2)N=N1	Z2866903218		0	1	3	3,81	6	3	7	6	0	0	48,09	333,79	53,82	0,57	9	9	0,727	0,676	0,311	0,563	0,227	0,061	0,884	0,767	0,388	0,854	0,929	0,663	0,481	0,005	0	0,013	0,016	0,001	0,515	0,036	0,012	0,287	1		72
C#CCCC1(CCC(=O)Nc2cc3c(cc2Cl)OCCO3)N=N1	Z2866903225		0	1	5	3,41	7	3	6	6	0	0	46,71	333,78	72,28	0,56	2	9	0,407	0,104	0,112	0,625	0,45	0,141	0,899	0,412	0,192	0,895	0,88	0,145	0,015	0,014	0	0,012	0,033	0,024	0,083	0,08	0,031	0,559	1		73
C#CCCC1(CCC(=O)N2CC(c3cnn(C)c3)C3(CCOCC3)C2)N=N1	Z2866903231		0	0	6	2,5	7	4	6	5	0	0	60,31	369,47	72,08	0,59	13	4	0,016	0,011	0,004	0,068	0,043	0,012	0,067	0,051	0,008	0,068	0,018	0,045	0,001	0,163	0,177	0,306	0,02	0,111	0	0,046	0,079	0	1		74
C#CCCC1(CCC(=O)N2CCC(c3ccncc3)C2)N=N1	Z2866903236		0	0	4	2,75	5	3	6	6	0	0	48,46	296,37	57,92	0,57	11	4	0,033	0,012	0,004	0,042	0,056	0,011	0,746	0,03	0,02	0,501	0,03	0,027	0	0,314	0,206	0,153	0,01	0,007	0,02	0,044	0,046	0,001	1		75
C#CCCC1(CCC(=O)NC[C@@H]2C[C@H]2c2cccnc2)N=N1	Z2866903238		0	1	4	2,66	5	3	8	6	0	0	48,46	296,37	66,71	0,51	6	4	0,128	0,072	0,041	0,117	0,018	0,014	0,698	0,069	0,099	0,392	0,152	0,146	0,036	0,041	0,019	0,189	0,015	0,002	0,071	0,053	0,019	0,01	1		76
C#CCCC1(CCC(=O)Nc2nc(C3CCOCC3)cs2)N=N1	Z2866903240		0	1	6	3,33	7	3	7	5	0	0	50,4	332,43	75,94	0,47	2	9	0,38	0,013	0,017	0,448	0,083	0,013	0,691	0,337	0,075	0,587	0,253	0,124	0,014	0,019	0,011	0,046	0,027	0,012	0,009	0,054	0,047	0,05	1		77
C#CCCC1(CCC(=O)N2CCCC(c3nnc4n3CCCCC4)C2)N=N1	Z2866903245		0	0	6	3,07	7	4	6	5	0	0	61,27	368,49	75,74	0,53	11	2	0,004	0,002	0,001	0,042	0,045	0,016	0,123	0,006	0,003	0,182	0,009	0,002	0	0,224	0,615	0,08	0,008	0,059	0,001	0,046	0,076	0	1		78
C#CCCC1(CCC(=O)NCc2nnc3n2CCCC3C(F)(F)F)N=N1	Z2866903259		0	1	6	2,69	10	3	7	5	0	0	49,9	368,36	84,53	0,6	6	7	0,001	0,006	0,004	0,124	0,025	0,04	0,024	0,004	0,011	0,088	0,011	0,01	0,003	0,05	0,03	0,108	0,034	0,004	0,001	0,046	0,026	0,001	1		79
C#CCCC1(CCC(=O)NCc2cc(Cl)cc3c2OCC3)N=N1	Z2866903265		0	1	4	3,25	6	3	7	6	0	0	49,01	331,8	63,05	0,52	6	9	0,144	0,015	0,026	0,113	0,132	0,111	0,464	0,165	0,037	0,461	0,545	0,047	0,002	0,034	0,011	0,043	0,027	0,025	0,021	0,065	0,012	0,091	1		80
C#CCCC1(CCC(=O)N2CCC(N3CCCNC3=O)CC2)N=N1	Z2866903269		0	1	4	1,75	7	3	6	0	0	0	53,69	331,42	77,37	0,58	11	0	0,001	0,001	0,004	0,005	0,006	0,009	0,108	0,001	0,006	0,002	0	0	0	0,043	0,583	0,13	0,012	0,021	0,001	0,045	0,015	0	1		81
C#CCCC1(CCC(=O)N2C[C@@H](OC)C[C@@H]2c2nc(C)no2)N=N1	Z2866903275		0	0	7	2,02	8	3	7	5	0	0	50,07	331,38	93,18	0,48	0	13	0,01	0,004	0,004	0,012	0,003	0,004	0,013	0,003	0,001	0,007	0,029	0,031	0,004	0,006	0,001	0,03	0,031	0,096	0,001	0,044	0,026	0,001	1		82
C#CCCC1(CCC(=O)N2CCC(C(=O)O)(C(F)(F)F)C2)N=N1	Z2866903281		0	1	4	2,21	9	2	6	0	1	0	42,69	331,29	82,33	0,54	13	0	0,125	0,022	0,008	0,097	0,049	0,028	0,138	0,029	0,045	0,096	0,156	0,017	0,015	0,028	0,004	0,116	0,069	0,009	0,097	0,035	0,014	0,052	1		83
