smiles	catalog_id	found_in_enaminestore
C#CCCC1(CCC(=O)Nc2ccc(N3CCCC3=O)c(OC)c2)N=N1	Z2866903712	yes
C#CCCC1(CCC(=O)NC2CCN(c3ccccc3OC)C2=O)N=N1	Z2866903718	yes
C#CCCC1(CCC(=O)NCC2CCC3(CCCCC3)O2)N=N1	Z2866903734	yes
C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2C(C)C)N=N1	Z2866903736	yes
C#CCCC1(CCC(=O)N2CC(OCc3nnc(C)o3)C2)N=N1	Z2866903742	yes
C#CCCC1(CCC(=O)N2CC(OCc3nc(C)no3)C2)N=N1	Z2866903748	yes
C#CCCC1(CCC(=O)N2CCOC(CC(F)(F)F)C2)N=N1	Z2866903751	yes
C#CCCC1(CCC(=O)N2CC(C)(C)C2c2nccn2CC2CC2)N=N1	Z2866903754	yes
C#CCCC1(CCC(=O)N(C)CC2CCCOC2c2ccccc2)N=N1	Z2866903762	yes
C#CCCC1(CCC(=O)N(C)C2CC(Oc3ccccc3)C2(C)C)N=N1	Z2866903766	yes
C#CCCC1(CCC(=O)Nc2cccc(CN3CCNC(=O)C3)c2)N=N1	Z2866903775	yes
C#CCCC1(CCC(=O)Nc2ccc3c(c2)CN(CC(N)=O)CC3)N=N1	Z2866903778	yes
C#CCCC1(CCC(=O)N2CCN(C(=O)Cc3ccncc3)CC2)N=N1	Z2866903780	yes
C#CCCC1(CCC(=O)NC2CCCN(Cc3ccccn3)C2=O)N=N1	Z2866903782	yes
C#CCCC1(CCC(=O)N2CCC(C(F)(F)F)n3nc(C)cc32)N=N1	Z2866903801	yes
C#CCCC1(CCC(=O)N2CCCNC(=O)C2Cc2ccccc2)N=N1	Z2866903827	yes
C#CCCC1(CCC(=O)N2CCC(NC(=O)c3ccccc3)CC2)N=N1	Z2866903829	yes
C#CCCC1(CCC(=O)N2CCc3ccc(Cl)cc3C2)N=N1	Z2866903839	yes
C#CCCC1(CCC(=O)NC2(c3cccc(Cl)c3)CC2)N=N1	Z2866903842	yes
C#CCCC1(CCC(=O)N2CC34CCCCC3(COC4)C2)N=N1	Z2866903844	yes
C#CCCC1(CCC(=O)N2CCC(c3nc(C)no3)CC2)N=N1	Z2866903846	yes
C#CCCC1(CCC(=O)N2CCCC(c3noc(C)n3)C2)N=N1	Z2866903849	yes
C#CCCC1(CCC(=O)N2CCCC(c3nc(C)no3)C2)N=N1	Z2866903852	yes
C#CCCC1(CCC(=O)N[C@@H]2CCOc3c(F)cccc32)N=N1	Z2866903859	yes
C#CCCC1(CCC(=O)N2CCC(CC(F)(F)F)CC2)N=N1	Z2866903863	yes
C#CCCC1(CCC(=O)N2CCc3occc3C2C(=O)O)N=N1	Z2866903866	yes
C#CCCC1(CCC(=O)N2CCS(=O)(=O)C3(CCCCC3)C2)N=N1	Z2866903871	yes
C#CCCC1(CCC(=O)N2C3CCC2c2cnc(C(C)C)nc2C3)N=N1	Z2866903874	yes
C#CCCC1(CCC(=O)N2CC3(CCOCC3)C2c2ccccc2)N=N1	Z2866903877	yes
C#CCCC1(CCC(=O)N2CCC[C@H]3O[C@@H](c4ccccc4)C[C@H]32)N=N1	Z2866903879	yes
C#CCCC1(CCC(=O)N2CCC3(CC2)OCCc2ccccc23)N=N1	Z2866903881	yes
C#CCCC1(CCC(=O)NC2CC3(CCCC3)Oc3ccccc32)N=N1	Z2866903884	yes
C#CCCC1(CCC(=O)Nc2ccc3ccn(CC(=O)NC)c3c2)N=N1	Z2866903888	yes
C#CCCC1(CCC(=O)NCc2cc(C(F)(F)F)on2)N=N1	Z2866903900	yes
C#CCCC1(CCC(=O)N2CCC(c3nnc4ccccn34)CC2)N=N1	Z2866903903	yes
C#CCCC1(CCC(=O)N2CCCCC2c2nc3ccccc3o2)N=N1	Z2866903908	yes
C#CCCC1(CCC(=O)N2CCCCC2c2ccnn2C)N=N1	Z2866903920	yes
C#CCCC1(CCC(=O)NC2(Cc3ccc(F)cc3)CC2)N=N1	Z2866903929	yes
C#CCCC1(CCC(=O)N2CCC(F)(c3ccccc3)C2)N=N1	Z2866903931	yes
C#CCCC1(CCC(=O)N2CCCC3(CCCc4ccccc43)C2)N=N1	Z2866903945	yes
C#CCCC1(CCC(=O)Nc2cc(C3CC3)nn2-c2ncccn2)N=N1	Z2866903952	no
C#CCCC1(CCC(=O)Nc2cccc(Cn3cccnc3=O)c2)N=N1	Z2866903957	yes
C#CCCC1(CCC(=O)Nc2ccc3nc4n(c(=O)c3c2)CCC4)N=N1	Z2866903958	yes
C#CCCC1(CCC(=O)N2CCC(C(F)(F)F)c3ccccc32)N=N1	Z2866903965	yes
C#CCCC1(CCC(=O)N2CCc3cccc(C(F)(F)F)c3C2)N=N1	Z2866903967	yes
C#CCCC1(CCC(=O)N2CCn3c(nnc3-c3ccccc3)C2)N=N1	Z2866903993	yes
C#CCCC1(CCC(=O)Nc2ccc(-c3cnc(C4CC4)o3)cc2)N=N1	Z2866903995	yes
C#CCCC1(CCC(=O)NC2COc3cccc(C)c3C2)N=N1	Z2866904006	yes
C#CCCC1(CCC(=O)N[C@H]2C[C@H](Oc3ccccc3)C2)N=N1	Z2866904009	yes
C#CCCC1(CCC(=O)N2CCOc3c(C)cc(C)cc32)N=N1	Z2866904011	yes
C#CCCC1(CCC(=O)NC2COc3c(C)cccc3C2)N=N1	Z2866904016	yes
C#CCCC1(CCC(=O)NC2(c3cccc(OC)c3)CC2)N=N1	Z2866904020	yes
C#CCCC1(CCC(=O)N2CCc3c(cccc3OC)C2)N=N1	Z2866904024	yes
C#CCCC1(CCC(=O)NC2(c3ccc(OC)cc3)CC2)N=N1	Z2866904026	yes
C#CCCC1(CCC(=O)NCC2OCCc3ccccc32)N=N1	Z2866904028	yes
C#CCCC1(CCC(=O)NC2C3Cc4cc(F)ccc4C32)N=N1	Z2866904032	yes
C#CCCC1(CCC(=O)NCC2(c3ccc(F)cc3Cl)CC2)N=N1	Z2866904034	yes
C#CCCC1(CCC(=O)NC[C@]23OCCC[C@H]2C3(F)F)N=N1	Z2866904037	yes
C#CCCC1(CCC(=O)Nc2c3c(nn2-c2ccccc2)CCC3)N=N1	Z2866904042	yes
C#CCCC1(CCC(=O)Nc2cc(C3CC3)nn2-c2ccccc2)N=N1	Z2866904044	yes
C#CCCC1(CCC(=O)N2CCc3c(ncn3-c3ccccc3)C2)N=N1	Z2866904045	yes
C#CCCC1(CCC(=O)N2CC(n3cccn3)Cc3ccccc32)N=N1	Z2866904049	yes
C#CCCC1(CCC(=O)Nc2c(-c3ccco3)nc3ccccn23)N=N1	Z2866904065	yes
C#CCCC1(CCC(=O)N2CCCc3c(OC(F)F)cccc32)N=N1	Z2866904067	yes
C#CCCC1(CCC(=O)N2CCC(N3CCC3)C2)N=N1	Z2866904069	yes
C#CCCC1(CCC(=O)NC2CN3CCC2CC3)N=N1	Z2866904072	yes
C#CCCC1(CCC(=O)NC23CCN(CC2)CC3)N=N1	Z2866904074	yes
C#CCCC1(CCC(=O)N2CCC3(CN(C)C3)C2)N=N1	Z2866904077	yes
C#CCCC1(CCC(=O)NCCc2nncn2C)N=N1	Z2866904080	yes
C#CCCC1(CCC(=O)NCCn2cnnc2C)N=N1	Z2866904082	yes
C#CCCC1(CCC(=O)NC2Cc3ccccc3NC2=O)N=N1	Z2866904083	yes
C#CCCC1(CCC(=O)NCCc2noc3ccccc23)N=N1	Z2866904085	yes
C#CCCC1(CCC(=O)Nc2nc3cccnc3n2CC)N=N1	Z2866904087	yes
C#CCCC1(CCC(=O)NCC2CCN(C3CCOCC3)CC2)N=N1	Z2866904091	yes
C#CCCC1(CCC(=O)NC(c2ccc(C)cc2)c2ccccn2)N=N1	Z2866904098	yes
C#CCCC1(CCC(=O)N2CCC([C@@H]3OCC[C@H]3C(N)=O)CC2)N=N1	Z2866904100	yes
C#CCCC1(CCC(=O)NCCc2cnn(C)c2)N=N1	Z2866904107	yes
C#CCCC1(CCC(=O)NC2(c3cccc(C)c3)CCC2)N=N1	Z2866904109	yes
C#CCCC1(CCC(=O)NC2CCN(c3ncccc3Cl)C2)N=N1	Z2866904116	yes
C#CCCC1(CCC(=O)N2CC(CC)Oc3c(Cl)cccc32)N=N1	Z2866904122	yes
C#CCCC1(CCC(=O)N2CCOC(c3cccc(Cl)c3)C2)N=N1	Z2866904125	yes
C#CCCC1(CCC(=O)NCCc2cc3ccccc3o2)N=N1	Z2866904129	yes
C#CCCC1(CCC(=O)N2CCOC(c3ccccc3Cl)C2)N=N1	Z2866904132	yes
C#CCCC1(CCC(=O)N2CCN(C3CCNC(=O)CC3)CC2)N=N1	Z2866904148	yes
C#CCCC1(CCC(=O)N2CCCC(c3ccc(F)c(F)c3)C2)N=N1	Z2866904161	yes
